a handful of	少数；一小撮
a slew of	大批；一系列
a matter of	…的问题；取决于
a question of	…的问题
a shadow of	…的阴影；…的残余
a taste of	一点…；…的滋味
a reflection of	…的反映
a case of	…的情况
at the heart of	在…的核心
at first glance	乍一看
at the end of the day	归根结底
at the expense of	以…为代价
at stake	处于险境；利害攸关
at the eleventh hour	在最后一刻
at all costs	不惜代价
at odds with	与…有矛盾
at the brink of	濒临
by and large	大体上
by all accounts	据各方面所说
by the book	照章办事
by no means	绝不；一点也不
by the time	到…的时候
cold turkey	突然；一下子
cut both ways	有利有弊
cut a fine figure	仪表堂堂
cut corners	走捷径
die out	灭绝；消失
drift apart	逐渐疏远
ebb and flow	涨落；起伏
face up to	正视
figure out	弄清楚；解决
for the better	向好的方向
for the time being	暂时
for this reason	因此
from time to time	时不时
game of cat and mice	猫鼠游戏
gold standard	黄金标准；典范
go the extra mile	多走一步；格外努力
go through	经历；穿过
go without	没有…也能过
grow out of	由…发展而来
hand in glove	狼狈为奸；亲密无间
hinge on	取决于
hit the nail on the head	一针见血
in a nutshell	简言之
in a word	一句话
in due course	到时候；迟早
in flux	处于变化中
in harmony with	与…和谐一致
in limbo	悬而未决
in the aftermath of	在…之后
in the absence of	在缺乏…的情况下
in the early hours of	在…的凌晨时分
in the long run	从长远看
in the thick of	在…之中
in the wake of	在…之后；随…而来
in the light of	鉴于；考虑到
in the cards	可能的；在计划中
in the nick of time	在紧要关头
in the limelight	处于注意中心
in other words	换句话说
in one's own right	凭自身
in no time	立刻；马上
in spite of	尽管
in turn	轮流；反过来
in vain	徒劳
it goes without saying	不言而喻
it's no secret that	…是公开的秘密
keep up with	跟上
keep in mind	记住
bear in mind	牢记
let go of	放手；放下
let down	使失望
let off the hook	放…一马
live up to	不辜负；达到
long odds	小概率
make the most of	充分利用
make up for	弥补
make a dent in	（对…）有所进展
make it big	大获成功
make one's mark	留下印记；成名
make waves	引起轰动
make the cut	达到标准
map out	规划
more and more	越来越
more likely than not	很可能
now and then	不时
off the back of	借着…的势头
off the top of one's head	不假思索地
once in a blue moon	千载难逢；极罕见
on account of	由于
on the verge of	即将；濒临
on top of	除了…还有
on top of that	此外；更糟的是
on the one hand	一方面
on the other hand	另一方面
on the line	处于危险中
on the whole	总体上
on the edge of	处于…的边缘
on the rocks	陷入困境
on the fence	犹豫不决
on the same page	意见一致
on the nose	精确地
out of the blue	突然；出乎意料
out of the question	不可能
out of reach	够不着
out of sight	看不见
over and over	反复
pave the way for	铺平道路
point of no return	不可逆转的转折点
point to	指向；表明
pull out all the stops	竭尽全力
pull out of	退出；撤出
put an end to	结束
put forward	提出
put on the back burner	搁置
raise the bar	提高标准
raise questions about	引发疑问
razor thin	极其微弱
rule of thumb	经验法则
rule out	排除
run into	偶遇；遭遇
run up against	遭遇（困难）
run the gauntlet	经受住考验
see eye to eye	意见一致
set a precedent	开创先例
set in	（时代/天气）来临；开始
set the stage for	为…铺路
shake off	摆脱
shrug off	不屑一顾；摆脱
smoke and mirrors	烟雾弹；障眼法
sooner or later	迟早
spare no effort	不遗余力
strike a nerve	触动痛处
strike a deal	达成协议
strike while the iron is hot	趁热打铁
step down	卸任
step in	介入
step up	加强；增加
stem from	源于
stand up to	经受住；抵抗
stand by	支持；袖手旁观
stick by	坚持；忠于
sweep away	扫荡；推翻
take a stand on	表明立场
take a cue from	向…学习
take for granted	视为理所当然
take hold	扎根；流行
take it in stride	泰然处之
take the form of	以…形式
take to	开始；习惯于
take the fall	背黑锅
take the plunge	毅然行动
take to task	严厉批评
take umbrage at	对…生气
that said	话虽如此
to be sure	诚然；的确
to name a few	举几个例子
to no avail	徒劳
to the extent of	达到…的程度
to put it simply	简而言之
to the best of one's knowledge	据某人所知
touch on	简要谈及
turn out	结果是
turn over a new leaf	翻开新的一页
turn the tables	扭转局面
turn the tide	扭转局势
turn the page	翻篇
turn to	求助于；变成
turn up	出现；调大
under the radar	未被注意的
under the spotlight	在聚光灯下
up in the air	未定的
use up	用尽
white elephant	昂贵而无用的东西
wind up	最终；结束
with a view to	为了
with a grain of salt	半信半疑
with hindsight	事后看来
zero in on	瞄准；集中关注
